age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
55,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,7,0,40,United-States,<=50K
51,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,4,0,40,United-States,<=50K
19,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,2,0,70,United-States,<=50K
51,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-1,0,40,United-States,<=50K
54,Self-emp-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,2,0,70,United-States,<=50K
47,Local-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,5,0,40,United-States,>50K
74,Private,Some-college,Never-married,Exec-managerial,Unmarried,White,Female,3,0,40,United-States,<=50K
38,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,4,0,36,United-States,<=50K
29,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,1,0,56,United-States,<=50K
28,Private,Some-college,Married-spouse-absent,Craft-repair,Unmarried,White,Male,4,0,40,Mexico,<=50K
47,Private,11th,Divorced,Craft-repair,Unmarried,White,Male,3,0,40,United-States,<=50K
41,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,70,United-States,<=50K
22,Private,Assoc-voc,Never-married,Sales,Not-in-family,White,Male,4,0,45,United-States,<=50K
29,Private,Assoc-voc,Never-married,Prof-specialty,Own-child,White,Female,2,0,40,United-States,<=50K
20,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,1,0,40,United-States,<=50K
25,Private,Bachelors,Never-married,Other-service,Own-child,White,Female,3,0,20,United-States,<=50K
35,Private,HS-grad,Widowed,Craft-repair,Husband,White,Male,3,0,58,United-States,<=50K
29,Private,11th,Divorced,Sales,Unmarried,White,Female,3,0,36,United-States,<=50K
26,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,2,0,30,Peru,<=50K
34,State-gov,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,4,0,33,United-States,<=50K
57,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Other-relative,Black,Male,2,0,40,Haiti,<=50K
37,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,Mexico,<=50K
50,Private,HS-grad,Widowed,Machine-op-inspct,Not-in-family,White,Female,3,0,43,United-States,<=50K
42,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,2,0,72,United-States,<=50K
31,Private,Assoc-acdm,Never-married,Handlers-cleaners,Unmarried,Black,Male,5,0,40,United-States,<=50K
28,Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Female,3,1326,40,United-States,<=50K
45,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Black,Male,2,0,40,United-States,>50K
24,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,-6,0,21,United-States,<=50K
66,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,7,2015,40,United-States,>50K
16,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,3,0,36,United-States,<=50K
19,Self-emp-not-inc,Some-college,Never-married,Sales,Own-child,White,Female,1,0,40,United-States,<=50K
43,Private,Some-college,Divorced,Tech-support,Unmarried,White,Female,2,1348,40,United-States,<=50K
57,Self-emp-inc,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5,0,60,United-States,<=50K
22,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Female,1,0,36,United-States,<=50K
23,Private,Bachelors,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,-1,0,20,United-States,<=50K
51,Private,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,9,0,37,United-States,<=50K
41,Self-emp-inc,Bachelors,Married-civ-spouse,Tech-support,Wife,White,Female,3,0,50,United-States,<=50K
24,Private,Some-college,Never-married,Handlers-cleaners,Own-child,Black,Male,7,0,40,United-States,<=50K
25,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,2,0,68,United-States,<=50K
57,Private,7th-8th,Divorced,Sales,Unmarried,Black,Male,1,0,45,United-States,>50K
42,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Female,4,0,45,United-States,<=50K
36,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,2,0,40,Ireland,<=50K
39,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,9,0,40,Taiwan,<=50K
25,Private,Some-college,Married-spouse-absent,Other-service,Unmarried,White,Male,5,0,40,United-States,<=50K
19,Private,11th,Never-married,Exec-managerial,Own-child,White,Male,1965,0,31,United-States,<=50K
26,Local-gov,Some-college,Divorced,Protective-serv,Unmarried,White,Female,-1,0,40,United-States,<=50K
30,Local-gov,Assoc-voc,Never-married,Protective-serv,Not-in-family,White,Female,0,0,20,United-States,<=50K
25,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,48,United-States,<=50K
66,Private,Some-college,Married-civ-spouse,Craft-repair,Wife,White,Female,-1,0,40,United-States,<=50K
24,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,3,0,40,Philippines,<=50K
23,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,2,0,26,United-States,<=50K
49,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,2,0,45,United-States,<=50K
24,Private,10th,Never-married,Sales,Unmarried,White,Female,5,0,50,United-States,<=50K
57,Private,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,4254,0,40,United-States,<=50K
58,Private,Prof-school,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,2,0,40,United-States,<=50K
27,Private,1st-4th,Never-married,Machine-op-inspct,Not-in-family,White,Female,4,0,40,Mexico,<=50K
54,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,3,0,85,United-States,>50K
46,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,2,0,28,United-States,<=50K
19,Private,HS-grad,Never-married,Exec-managerial,Own-child,White,Male,3,0,68,United-States,<=50K
37,Local-gov,Assoc-acdm,Divorced,Protective-serv,Unmarried,White,Male,4,0,40,United-States,<=50K
46,State-gov,HS-grad,Never-married,Protective-serv,Not-in-family,White,Male,4,0,45,Ireland,<=50K
45,Private,HS-grad,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,4,0,40,United-States,<=50K
21,Private,9th,Divorced,Handlers-cleaners,Not-in-family,Black,Male,2,0,35,United-States,<=50K
30,Private,Some-college,Divorced,Machine-op-inspct,Other-relative,White,Male,0,0,40,United-States,<=50K
53,Private,Preschool,Married-civ-spouse,Prof-specialty,Husband,White,Male,3,0,40,United-States,<=50K
26,Local-gov,HS-grad,Never-married,Protective-serv,Unmarried,Black,Male,4,0,40,Mexico,<=50K
20,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,White,Female,1,0,40,United-States,<=50K
52,State-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,5,0,40,United-States,<=50K
