age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
37,Private,Assoc-voc,Divorced,Handlers-cleaners,Not-in-family,White,Male,2,0,40,United-States,<=50K
64,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,3465,0,40,United-States,<=50K
43,Private,Bachelors,Never-married,Prof-specialty,Husband,White,Male,4,0,65,United-States,>50K
26,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,4,0,35,Outlying-US(Guam-USVI-etc),>50K
26,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,1,0,40,United-States,>50K
31,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,Black,Male,14805,0,96,United-States,>50K
33,Local-gov,Doctorate,Married-AF-spouse,Prof-specialty,Not-in-family,White,Female,8,0,58,United-States,>50K
61,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,>50K
48,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Black,Male,1,0,40,United-States,>50K
52,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,2,0,67,United-States,>50K
39,Private,11th,Never-married,Craft-repair,Own-child,Black,Male,5,1840,40,United-States,<=50K
35,Private,HS-grad,Never-married,Protective-serv,Unmarried,Black,Female,7,0,40,United-States,<=50K
18,Private,11th,Never-married,Sales,Own-child,White,Male,2,0,17,United-States,<=50K
39,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,Black,Female,3,0,40,United-States,<=50K
59,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Female,6,0,50,United-States,<=50K
55,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,60,United-States,<=50K
38,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,1,0,40,Mexico,<=50K
54,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,5,2052,40,United-States,<=50K
20,Private,HS-grad,Never-married,Sales,Own-child,White,Male,3,0,59,United-States,<=50K
59,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,40,United-States,>50K
55,Local-gov,HS-grad,Separated,Protective-serv,Unmarried,Black,Female,8,0,40,United-States,<=50K
61,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,3,0,59,United-States,>50K
33,Private,11th,Never-married,Craft-repair,Unmarried,White,Male,6,0,40,United-States,<=50K
50,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,49,United-States,<=50K
25,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,36,United-States,>50K
44,Private,Assoc-voc,Never-married,Craft-repair,Not-in-family,White,Male,3779,0,40,United-States,<=50K
29,Private,11th,Never-married,Machine-op-inspct,Not-in-family,White,Male,6,0,29,Honduras,<=50K
50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,36,United-States,<=50K
28,Private,7th-8th,Never-married,Craft-repair,Not-in-family,White,Male,6,0,40,Dominican-Republic,<=50K
66,Private,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,3,0,5,United-States,<=50K
42,State-gov,Bachelors,Separated,Prof-specialty,Not-in-family,Black,Male,6,0,40,United-States,>50K
42,Private,9th,Never-married,Craft-repair,Own-child,White,Male,2,0,40,United-States,<=50K
60,Local-gov,Prof-school,Married-civ-spouse,Protective-serv,Husband,White,Male,6,2118,73,United-States,>50K
33,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Poland,<=50K
51,Private,HS-grad,Divorced,Craft-repair,Unmarried,Black,Male,4,0,40,United-States,>50K
44,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,Black,Male,5,0,40,United-States,<=50K
58,Local-gov,Some-college,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,3,0,58,United-States,<=50K
53,Self-emp-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,7,0,51,United-States,>50K
30,Private,Assoc-voc,Never-married,Sales,Unmarried,White,Male,5,0,66,United-States,<=50K
31,Private,Assoc-voc,Never-married,Craft-repair,Own-child,White,Male,1,0,40,United-States,<=50K
46,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,5,0,68,United-States,<=50K
30,Private,Some-college,Never-married,Handlers-cleaners,Unmarried,White,Male,7,0,40,United-States,<=50K
46,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,5,1804,37,United-States,>50K
33,Self-emp-not-inc,HS-grad,Divorced,Protective-serv,Not-in-family,White,Male,5,0,70,United-States,<=50K
30,Federal-gov,9th,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,1,0,36,United-States,<=50K
24,Private,Assoc-voc,Never-married,Prof-specialty,Husband,Black,Male,1,0,40,United-States,>50K
52,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,5,0,50,United-States,>50K
32,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,3,0,40,United-States,<=50K
52,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,4,0,40,United-States,<=50K
52,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,40,United-States,>50K
20,Private,HS-grad,Never-married,Other-service,Unmarried,Black,Female,3,0,12,United-States,<=50K
45,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,1,0,40,United-States,>50K
44,Local-gov,Bachelors,Never-married,Tech-support,Unmarried,White,Male,7,0,40,United-States,>50K
53,Local-gov,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,Black,Male,2,0,40,United-States,<=50K
32,State-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,5,0,40,United-States,<=50K
