LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
114584.250098676,Male,1,1,40+,1,-1,-2,-2,-2,-2,1157.156286706509,705.5304502648759,578.3750782998749,-596.662785973154,-326.2963844557101,471.72018801855256,-224.5246237196521,372.2823810481689,-99.23589995149588,755.5887648448606,-238.1374209760918,163.5160635788484,1
263132.4030012171,Male,6,2,20-40,0,0,0,0,0,0,272354.46296971705,386336.6956819728,384537.4464213999,100843.09783134444,196925.3928144379,147956.94722848784,12336.194341783976,9040.004483753852,10836.499155959402,1681.2402029741988,3470.087009456728,7233.01261454074,0
123815.89143445998,Male,1,2,40+,-1,-1,-1,-1,-1,-1,7655.0880729463,7277.92738961468,18638.457611915128,1569.2662895994267,168.91229171807606,3228.4519351027934,4274.935848999016,10001.643538567629,416.116942799699,1638.1954398038529,-113.94857164029466,1295.5196162402417,0
138588.43581055032,Male,1,1,40+,1,-1,-1,-2,-2,-1,2379.4757063830807,2324.9323915794275,1836.8864879905327,211.81891531422423,493.24212266770405,512.9363334594989,907.3791076322832,673.6864379189001,-7.332891087685198,-5.178830280290526,1714.0528894085194,27.13647638951176,0
155230.42647754564,Male,2,2,20-40,1,2,2,2,2,2,1469.6145542411643,10989.254326090931,50.94296921419334,-1009.1059355804596,148911.9569231709,12339.997312627997,74.12641150358797,640.0389426699855,-175.20219763143814,433.61578630961344,41.74555295571362,139050.4994142143,0
489885.8645803245,Male,1,1,20-40,1,-2,-2,-2,-2,-2,1033.6274346711043,1514.8920888472353,-740.3589788240405,5423.786581690441,6452.193208432749,19.579304619700565,513.6390025112756,759.2687310547566,10189.85594438035,4267.202129225395,124.77392946920148,125.38535214892848,0
26693.36092352333,Male,3,2,40+,1,2,2,2,-2,-2,1649.0849966949163,1372.0313461041214,187.1366296564828,574.0918124722316,-128.45534268425058,270.9292167885935,1702.4050007234578,209.59236741684532,1324.785622884138,59.937392032241206,175.87950854175935,-28.42402913497193,1
125755.01770388868,Male,3,2,20-40,0,0,0,0,0,0,126548.67541511868,43149.472798785646,1958.4322636308584,25025.239919998698,13710.657949346589,14732.810115635277,5039.061115705781,785.8637961427813,1211.12349975986,4351.984312970569,4159.201100853236,2125.210333507495,1
288587.3603861064,Male,1,1,40+,0,0,0,0,0,0,110243.96621874251,109639.74553807428,105388.88059958392,124480.10266677928,143861.59768675853,379212.0588892634,7104.115470729963,5123.682567329142,9822.478216163676,5770.482861386199,6365.242241286948,3127.7629261254574,0
280716.0837735122,Male,1,2,20-40,0,0,0,0,0,0,264237.3138859669,106913.7221917253,196804.95553772728,228252.84548080992,353369.7278425895,210482.2881185393,5650.273381226374,7170.93293019971,12420.980041076416,7497.956986320081,5541.1132538953525,10150.60072893685,0
19245.337134457484,Male,1,2,20-40,1,2,3,2,2,0,14226.34979687138,34041.0510635725,42004.06029906972,18438.4689460363,18432.43000286662,23722.59954078736,1162.4445335949254,881.9230620666829,220.51344707550203,846.0959825725512,294.8275502329578,621.8923472926729,0
79204.08973996087,Male,4,1,40+,0,0,0,0,0,0,34457.69319157496,43124.15655982379,43954.95044664966,49113.97064355906,43822.06352815552,57573.822837286985,4881.924957515082,1990.5483604098376,2105.522205621924,1569.1572548729546,4321.276928170977,3719.666187134907,0
48866.2633241976,Male,2,1,40+,1,2,6,2,2,2,43178.72240602236,36766.14284658621,51461.973868707406,44899.89667513647,54793.61735289164,47263.48049424755,-240.23143654506555,-38.647807249143966,275.34683669096125,-80.97969778880099,6009.57549936958,89.15599847635158,1
16899.314568484613,Male,2,2,20-40,4,4,3,2,2,0,19423.78712283664,21726.945405015744,21679.09873206393,21759.261406519887,18232.68775060911,21574.36053823431,549.0974548260901,2075.04536003131,4137.622719306884,498.5729689951536,2886.69129914563,1461.7478781509526,0
327549.50943384954,Male,1,1,40+,-1,-1,-1,-1,-2,-1,1235.426266541333,583.2816429038712,741.7766292331216,-810.3228534105959,71.58969529460637,353.2813262246358,34.0832126090304,873.9802694115517,13.068467898162735,29.32377861676673,13.783387873007824,60.37581691119172,0
177481.30820944416,Male,3,2,40+,2,2,2,2,2,2,191405.784996614,184852.82082947635,30807.49271523709,147160.25723072974,287106.6103654973,169774.26053061034,1146.7553583427723,14215.14400214476,3135.843218456233,7916.898852883929,866.4407271993203,1851.585066228872,1
503792.3084521161,Male,1,1,20-40,-1,-1,-1,-1,0,0,15027.003425040371,47981.89189543476,12055.503654089118,15586.003156567336,102354.41515227528,43194.628665284064,54615.47418762579,12941.669122539544,37343.80915480783,48761.16779702742,30442.001914111977,10708.833076127372,0
134159.4785918505,Male,1,1,20-40,0,0,0,2,2,2,66384.37033921528,89136.1160974215,95877.21939596187,111662.44797105476,47950.47761497437,45392.703119962825,11493.49502672518,-220.5459688803737,307.2152441391312,67.76114660497004,-152.87284034994687,577.4799970124959,0
