age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
54,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,4,0,40,United-States,>50K
66,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Female,3483,0,17,United-States,<=50K
56,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,6,0,40,United-States,>50K
37,Self-emp-not-inc,Some-college,Married-civ-spouse,Protective-serv,Husband,Black,Male,4,0,40,United-States,>50K
72,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,7525,0,40,United-States,>50K
43,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,2,0,46,United-States,>50K
31,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,4850,0,40,United-States,>50K
50,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,2,0,36,United-States,<=50K
29,Local-gov,Some-college,Never-married,Sales,Unmarried,Black,Female,3,0,40,United-States,<=50K
38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,2,1840,40,United-States,>50K
49,Private,Some-college,Separated,Sales,Unmarried,White,Female,5,0,40,United-States,<=50K
36,Private,Some-college,Divorced,Exec-managerial,Unmarried,Black,Male,3,0,40,United-States,>50K
32,Private,Assoc-voc,Divorced,Protective-serv,Not-in-family,Black,Male,4,0,50,United-States,>50K
52,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,England,>50K
23,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,3517,0,40,United-States,<=50K
47,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,43,United-States,>50K
50,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,6,0,40,United-States,>50K
46,Private,Assoc-voc,Divorced,Prof-specialty,Unmarried,White,Female,4,0,40,United-States,<=50K
56,State-gov,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Male,4,0,97,United-States,<=50K
24,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,3,0,58,Germany,>50K
16,Private,11th,Never-married,Machine-op-inspct,Own-child,White,Female,4,0,40,United-States,<=50K
54,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,7,0,45,United-States,>50K
23,Private,HS-grad,Never-married,Craft-repair,Not-in-family,Black,Male,7,0,34,United-States,>50K
19,Never-worked,10th,Married-spouse-absent,Other-service,Own-child,White,Female,1,0,28,United-States,<=50K
46,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,37,Mexico,<=50K
31,Local-gov,HS-grad,Married-AF-spouse,Protective-serv,Wife,Black,Female,4,0,40,United-States,<=50K
51,Local-gov,Prof-school,Married-civ-spouse,Protective-serv,Husband,White,Male,3,0,40,United-States,>50K
39,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,14883,0,59,United-States,>50K
51,Self-emp-not-inc,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,3,0,41,United-States,>50K
23,Private,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,2,0,40,United-States,>50K
36,Self-emp-not-inc,HS-grad,Widowed,Protective-serv,Not-in-family,White,Male,0,0,17,United-States,<=50K
65,Private,HS-grad,Widowed,Machine-op-inspct,Unmarried,Black,Female,8,0,34,United-States,<=50K
30,Private,1st-4th,Widowed,Handlers-cleaners,Not-in-family,Black,Male,4,0,40,United-States,<=50K
