LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
19063.102446676585,Male,2,2,20-40,1,2,0,0,0,0,25821.29823224435,25793.363018627715,25425.400723924544,22628.514748908,38271.67119175442,22149.873998266365,-491.1146406271665,2075.1803176516223,-461.0366984275322,52.0924305338751,611.6345501667738,1478.091815178661,1
136817.37405898326,Male,2,1,20-40,1,-2,2,-2,-2,-2,1026.12306215629,1463.318689610011,1225.6165251229847,-1108.6615793749424,274.53581455568815,-9.072305820295584,419.3807436025384,-36.93853041259126,-11.861826087357258,3.1736195988304416,-48.41929283004546,1.0136524404390457,1
116950.8364280302,Male,1,1,40+,-1,-1,-1,-1,-2,-1,40015.9004786705,2137.002423310033,1652.5254094333666,1486.9385246106167,-263.2025449203975,323.2119784711777,4003.5688650668135,528.3829239443728,-200.8381539156376,66.05732653417218,505.8638180031076,211.7999100909277,0
147118.40105787653,Male,1,2,20-40,1,-2,-2,-2,-2,-2,-762.3772916791058,984.930104193872,-135.17084857299926,-556.8877575656983,-879.4559772059873,-457.6028147473081,63.70217967822873,81.00626743221255,1279.784463981051,13.283461050794642,-23.98696286096731,-98.27957830819088,0
342206.4896143313,Female,2,1,20-40,2,2,2,2,2,2,199765.37434216944,146281.09948101983,225944.1387568625,109407.38661656398,103013.66710907848,119868.55625323852,2086.31602901055,1575.2678293817792,10.320884143243973,52328.83873369391,218.6279294345744,2428.545062783019,1
154727.9257812216,Female,3,2,20-40,0,0,0,0,0,0,12248.698406387142,48795.73632560824,353723.1083192085,59336.75773096247,99155.32174005432,68671.30615568499,7727.014790556144,4720.427741448353,6246.116817888227,4585.201879487858,6508.802523190037,2328.9557297587407,0
232089.4265521537,Male,3,2,40+,0,0,0,0,0,0,174751.4965747801,103888.82966694314,250062.4897494572,182338.8247363853,212463.1346135742,121097.88032607724,6098.400977663845,8768.603383240354,8929.30663497885,8309.316558254148,2561.360048710159,1395.5641196279148,0
132592.14455639204,Male,3,1,40+,1,-1,-1,-1,-1,-1,2789.0121607099545,117.06036099387576,-25.31448506744789,609.404206906911,1728.3829523527138,-873.0496396267805,340.2539320456018,-443.1609675536133,851.2305913477542,1714.2680919578636,1808.1845662135163,-90.81708589180256,0
42265.4134355797,Female,3,1,20-40,0,0,-1,-1,0,0,36151.59442955594,36063.71866183451,23788.356286369355,18462.351695446723,49448.51350476812,25309.5898638559,854.8519303739,12673.034468383386,1131.368661662766,4490.408511483112,7239.712805800643,-78.5960105764376,0
134413.48409604304,Female,2,2,20-40,-2,-2,-2,-2,-2,-2,2827.7413256712334,4519.321448419281,15916.662370444206,18422.399209334417,6569.276161117345,846.942901951384,5807.199261095032,8176.634061708903,34142.46939286473,7705.136909957184,5541.496342175757,1172.9831888195474,0
173913.46304859762,Male,2,1,20-40,2,-1,2,8,7,-1,2815.6422217388945,2667.225744137405,-537.7463696427448,855.1564798001184,2493.64739350377,1746.0428222978203,447.90118239706055,863.2898326907152,-18.232032293247244,1250.4494009545406,1136.7432853351308,1137.0736050127143,1
140207.53623103676,Female,1,2,20-40,1,-2,-2,-2,-2,-1,-694.2183865576831,-736.1999657295212,1300.6583368142774,415.9525391169244,841.5081976730553,-740.4788582583548,594.178864865091,20277.035941440045,667.3703532720502,-86.19137981352674,135.64910452332123,-659.115951534588,0
395754.0026915899,Male,1,1,20-40,2,0,0,0,0,0,229972.2312032137,188793.3286645582,198650.52232087505,204840.6060857261,200128.47368346865,180221.12276166392,9050.671484571949,8451.575432172347,7315.629432275313,8724.475151235785,2746.174059742155,4081.6191915221634,0
139240.38467416476,Female,2,1,20-40,1,-2,-2,-2,-2,-2,837.9430479329446,-29.84102569938568,1420.2065966038272,893.7469004209089,2522.4787752629773,595.1172539018082,309.03957405016376,628.4729236623932,4672.7764534633525,104.45627082435678,1676.000908445397,17217.397246997603,0
376289.4715313802,Male,6,1,20-40,2,2,6,0,0,7,185091.5028346511,400893.7193773069,253593.7521940929,224875.5010723721,173920.17035255954,179942.02570415143,700.100672039166,12160.177674765026,745.2262763457668,362.5416124759329,150.51086051244857,58169.74161621678,0
132994.14264636397,Female,3,2,20-40,2,0,0,0,0,0,77857.68340662033,94033.89866790944,80793.09966990333,88547.82212945606,84325.99242233564,69152.64682107205,1398.42275885214,3902.5756618901178,4684.945125431618,5572.630775081999,3643.566288929994,3730.152684273816,0
268589.47347440466,Male,6,1,20-40,0,0,0,0,0,0,141258.55287762967,126070.5655747067,119986.73778246272,108780.27674640797,84855.2135107663,106640.21747787455,4525.663318860849,9102.184676768107,4964.778587756365,5674.656308617366,3818.7714122518687,2316.3226503392925,0
137251.12211136534,Male,1,1,20-40,2,2,5,3,2,2,205191.321953013,184724.1387314943,180047.09443546727,202270.4556478239,196474.74971180112,142892.68316493832,469.4562850537758,4010.999853096841,9242.334460327524,6461.837265556551,7192.530788409407,8989.286206623072,1
147687.3966504499,Female,1,3,20-40,0,0,-1,-1,0,0,17372.93385050004,16157.637658122358,38303.84308770109,23591.25687515256,30630.21469218099,124585.10209637496,3124.4869789921736,8525.696052407557,28541.637575425026,7301.277566161072,20251.7302183532,398.968259968792,0
242950.9800491044,Female,1,2,20-40,2,2,0,0,2,-1,209581.15227267472,217955.80524298627,103238.12503050588,73119.13921127192,56888.56954250457,65324.53461027092,68.13560099173583,1887.2688594816,-199.2566386904225,590.3495480696984,3666.050193661634,4522.233744347159,1
