age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,juv_fel_count,juv_misd_count,juv_other_count,c_days_from_compas,length_of_stay,two_year_recid
54,M,African-American,25 - 45,Medium,Female,0,-1,5,0,0,0,-0.6444547123847297,3,0
55,F,Caucasian,Less than 25,Low,Male,2,0,2,0,0,0,1.8225431661973688,17,1
36,F,Caucasian,Greater than 45,Low,Female,2,-3,2,0,0,0,0.9324381577880024,17,0
36,M,African-American,25 - 45,Low,Female,3,0,3,0,0,0,0.4901017750776654,19,0
21,F,Caucasian,Less than 25,High,Male,0,-1,9,0,0,0,0.1109119710115498,2019,1
23,F,Caucasian,Less than 25,Low,Male,1,0,2,0,0,0,0.1694163638481334,28,1
28,F,African-American,25 - 45,High,Male,0,0,10,0,0,0,-1.6933101615098287,658,0
29,F,African-American,25 - 45,High,Male,0,-1,5,0,0,0,-0.8299357557381166,28,1
28,M,African-American,25 - 45,Medium,Male,0,-1,3,0,0,0,0.4835187026630918,-13,0
32,F,African-American,Greater than 45,High,Male,5,-1,10,0,0,0,-1.4716209265418243,37,1
32,M,Caucasian,Greater than 45,Medium,Male,0,-1,5,0,0,0,1.8029554115507669,18,1
23,F,Caucasian,Less than 25,Low,Male,0,-1,3,0,0,0,-0.3341992948233874,17,1
49,F,Caucasian,25 - 45,High,Male,23,0,10,0,0,0,0.4073782649541867,668,0
51,F,African-American,Greater than 45,Low,Female,11,0,3,0,0,0,1.7159754696406757,27,0
29,M,Caucasian,25 - 45,Low,Female,2,0,1,0,0,0,1.259036847870315,3,0
30,M,African-American,25 - 45,Low,Female,3,0,3,0,0,0,1.5611532941092323,26,1
22,M,African-American,25 - 45,Low,Male,0,-3,3,0,0,0,0.0106859017463358,26,0
51,M,African-American,25 - 45,Medium,Male,0,-1,4,0,0,0,-0.0105174318547434,27,0
23,F,African-American,Less than 25,Low,Female,0,-1,4,2,0,0,0.6670771703027241,16,0
29,M,African-American,Less than 25,Low,Female,0,-1,3,0,0,0,2.957943690537072,15,0
31,F,Caucasian,25 - 45,High,Male,0,0,9,0,0,0,0.1448791543536765,13,1
30,F,Caucasian,25 - 45,High,Male,10,-1,9,0,0,0,1.8143354274519623,31,0
28,F,African-American,Less than 25,Medium,Female,16,0,5,0,0,0,-0.4010061461372032,25,1
28,M,African-American,Less than 25,Medium,Female,0,-1,6,0,0,0,0.2654587684078144,8,0
22,F,Caucasian,Less than 25,High,Male,0,-1,5,0,0,0,-1.074712644548956,38,1
36,F,Caucasian,Greater than 45,Low,Male,1,0,1,0,0,0,-0.3694648498254826,21,0
49,F,Caucasian,Greater than 45,High,Male,0,-1,10,0,0,0,2.232284355184563,49,1
37,F,African-American,25 - 45,Low,Female,0,0,3,0,0,0,0.4905449123066889,29,0
24,M,African-American,25 - 45,Low,Male,17,-1,3,0,0,0,0.0956389162726116,12,0
51,F,African-American,Greater than 45,Low,Female,5,0,3,0,0,0,-1.2040033427002694,37,0
34,M,African-American,25 - 45,Low,Female,0,-3,6,0,0,0,-0.038118822972011,-4,0
27,F,Caucasian,25 - 45,Low,Male,3,0,3,0,0,0,0.2905536092663514,20,1
29,F,Caucasian,25 - 45,High,Male,15,-1,8,0,1,3,-0.1302061426748626,34,1
36,M,African-American,Less than 25,Low,Female,1,0,4,0,0,0,-0.2528723817087994,13,0
49,F,Caucasian,Greater than 45,Low,Male,1,0,1,0,0,0,1.0031897472829467,31,1
53,F,Caucasian,Greater than 45,Low,Female,21,0,1,0,0,0,-0.4598705624460302,15,0
53,F,Caucasian,Greater than 45,Low,Male,5,-1,1,0,0,0,1.765266760397895,32,0
26,F,Caucasian,25 - 45,High,Male,11,0,9,0,0,0,-1.5417909920202482,692,1
55,M,African-American,Greater than 45,Low,Male,0,-1,3,0,0,0,1.4986608193694648,11,0
31,F,Caucasian,25 - 45,High,Male,0,-1,10,0,0,0,-2.05235832342818,1359,1
23,M,Caucasian,Less than 25,Low,Male,0,-1,4,0,0,0,1.2679829098864728,7,0
51,F,Caucasian,Greater than 45,High,Male,3,-1,9,0,1,0,0.058456503456491,8708,1
21,F,Caucasian,25 - 45,High,Male,12,-1,9,0,0,2,0.4673058702614961,39,0
49,M,African-American,25 - 45,Medium,Male,0,0,5,0,0,0,0.0278739083327228,24,0
51,F,African-American,Greater than 45,Medium,Male,6,0,5,0,0,0,0.189352297746111,7146,1
56,F,African-American,Greater than 45,Low,Female,3,0,1,0,0,0,1161.2242955969282,205,0
27,F,Caucasian,Less than 25,Low,Female,1,-1,4,0,0,0,1.1858495942256817,27,0
28,F,Caucasian,25 - 45,High,Male,14,-1,10,0,0,0,10.07755420613174,933,1
29,F,Caucasian,25 - 45,High,Male,21,-1,8,0,0,0,1.5066860447976178,1613,1
37,F,African-American,25 - 45,Low,Female,4,0,3,0,0,0,0.7290412668618482,10,1
54,F,Caucasian,Greater than 45,Low,Male,6,0,1,0,0,0,2.213862643661337,197,0
53,M,Caucasian,25 - 45,Low,Male,5,-1,3,1,0,0,2.217146011440439,33,1
50,F,Caucasian,Greater than 45,High,Male,8,-1,9,0,0,0,-0.035468168026054,15,1
53,F,Caucasian,Greater than 45,Low,Male,0,0,1,0,0,0,2.363528192585089,54,1
56,M,African-American,Greater than 45,Low,Female,11,-1,3,0,0,0,2.5582177092418688,34,0
38,M,Caucasian,25 - 45,Low,Male,0,-1,4,0,0,0,1.426826606823982,23,0
52,M,African-American,25 - 45,Low,Male,0,0,3,0,0,0,0.3765050779977453,26,0
57,F,Caucasian,Greater than 45,Low,Male,1,0,1,0,0,0,0.530949361620291,30,1
39,M,Caucasian,25 - 45,Low,Female,0,-1,1,0,0,0,2.0387440683031457,11,0
27,F,Caucasian,25 - 45,High,Male,12,0,9,0,0,0,-1.3861949600236507,28,1
43,F,Caucasian,25 - 45,High,Male,4,30,10,0,0,0,-3.2619925360926425,940,1
35,F,Caucasian,25 - 45,Medium,Male,5,0,6,0,0,0,-0.2477773246285508,230,1
59,F,Caucasian,Greater than 45,Low,Male,3,0,3,0,1,0,2.578059229724077,64,1
55,F,African-American,Greater than 45,Low,Female,0,-1,1,0,0,0,1.54499498596577,34,0
27,F,Caucasian,25 - 45,High,Male,17,-1,10,0,0,0,-1.4711030481949103,811,1
26,F,Caucasian,Less than 25,Low,Male,2,-21,3,0,0,0,12.802776829657986,39,1
22,F,African-American,Less than 25,Medium,Female,0,20,5,0,0,0,0.1117406580508946,88,0
28,F,Caucasian,25 - 45,High,Male,0,-1,9,0,0,0,0.3636823475035328,40,1
20,M,African-American,Less than 25,High,Male,0,23,10,0,0,0,-5.55472302356852,50,0
48,F,African-American,Greater than 45,Medium,Male,7,0,5,0,0,0,-0.4328612462316883,35,1
46,F,Caucasian,25 - 45,Low,Male,1,-26,1,0,0,0,7.285890330452085,677,1
29,F,Caucasian,25 - 45,High,Male,0,-1,10,0,0,0,0.9956565164948976,1545,1
27,F,Caucasian,25 - 45,High,Male,-1,-1,10,0,2,1,-0.6084835413279404,50,1
35,F,African-American,25 - 45,Low,Female,2,0,2,0,0,0,2.1737639658427845,21,0
46,F,Caucasian,25 - 45,High,Male,0,-1,10,0,0,0,-1.1845153790179912,613,0
45,F,African-American,Greater than 45,Medium,Male,11,0,5,0,0,0,1.6825265390317552,29,0
54,F,Caucasian,Greater than 45,Low,Male,3,0,4,0,0,2,0.5893353122481955,31,1
28,F,African-American,Less than 25,Medium,Male,0,-1,5,0,0,0,0.9058153784023872,27,0
31,F,Caucasian,25 - 45,Low,Male,1,-23,3,0,0,0,5.122089760976568,643,0
