age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
41,Private,HS-grad,Divorced,Tech-support,Not-in-family,White,Female,3,0,32,United-States,<=50K
31,Private,Doctorate,Divorced,Prof-specialty,Not-in-family,White,Female,3,0,50,Peru,>50K
59,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Black,Female,4,0,40,United-States,<=50K
28,Private,7th-8th,Never-married,Machine-op-inspct,Not-in-family,White,Male,5,0,40,Guatemala,<=50K
22,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,7,0,39,United-States,<=50K
24,Private,Bachelors,Married-civ-spouse,Protective-serv,Own-child,White,Male,1,0,40,United-States,<=50K
44,Local-gov,Bachelors,Never-married,Prof-specialty,Wife,Black,Female,4,0,79,United-States,<=50K
30,Private,Preschool,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,40,Mexico,<=50K
22,Local-gov,Some-college,Never-married,Other-service,Own-child,White,Male,2,0,40,United-States,<=50K
44,Private,HS-grad,Never-married,Farming-fishing,Unmarried,White,Male,5,0,40,United-States,<=50K
53,State-gov,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,White,Female,3,0,35,United-States,<=50K
34,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,1,0,40,United-States,<=50K
63,Private,Some-college,Widowed,Prof-specialty,Not-in-family,White,Male,3,0,10,United-States,<=50K
28,Local-gov,Preschool,Married-AF-spouse,Handlers-cleaners,Husband,White,Male,1,0,61,United-States,<=50K
31,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,2,0,36,United-States,<=50K
60,Self-emp-not-inc,Some-college,Divorced,Sales,Unmarried,White,Female,3,0,40,United-States,<=50K
23,Private,Some-college,Never-married,Sales,Own-child,White,Male,4,0,37,United-States,<=50K
19,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Female,1,0,30,United-States,<=50K
65,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,4,0,66,United-States,<=50K
39,Private,11th,Separated,Farming-fishing,Unmarried,White,Male,3,0,67,United-States,<=50K
58,Private,Some-college,Widowed,Exec-managerial,Not-in-family,White,Male,-2,0,40,United-States,<=50K
44,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,5,0,40,United-States,<=50K
24,Private,7th-8th,Never-married,Protective-serv,Not-in-family,White,Male,2,0,40,Philippines,<=50K
60,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,83,United-States,>50K
24,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,3485,0,40,United-States,<=50K
34,Private,11th,Never-married,Tech-support,Unmarried,White,Male,1,0,36,Columbia,<=50K
35,Private,7th-8th,Divorced,Craft-repair,Other-relative,White,Male,4,0,40,United-States,<=50K
41,Private,HS-grad,Divorced,Farming-fishing,Husband,White,Male,1,0,50,Mexico,<=50K
50,Local-gov,HS-grad,Divorced,Adm-clerical,Wife,White,Female,4,0,40,United-States,<=50K
27,Private,9th,Never-married,Protective-serv,Own-child,Black,Female,1,0,40,United-States,<=50K
51,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,36,United-States,<=50K
50,Self-emp-inc,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,2,0,59,United-States,<=50K
48,Self-emp-not-inc,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Female,2,0,29,United-States,<=50K
52,Self-emp-not-inc,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,7,0,40,United-States,<=50K
49,Private,HS-grad,Married-civ-spouse,Prof-specialty,Wife,White,Female,3,0,32,United-States,<=50K
22,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Male,3,1436,40,United-States,<=50K
47,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,Black,Female,6,0,36,United-States,>50K
31,Private,HS-grad,Separated,Other-service,Unmarried,White,Female,3,0,34,United-States,<=50K
34,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Own-child,White,Male,3546,0,40,United-States,<=50K
34,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,42,United-States,<=50K
29,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,3,0,40,United-States,<=50K
22,State-gov,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,1,0,36,Dominican-Republic,<=50K
58,Private,7th-8th,Widowed,Prof-specialty,Not-in-family,White,Female,3,0,39,United-States,<=50K
39,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,1,0,40,United-States,<=50K
16,Private,11th,Married-spouse-absent,Farming-fishing,Own-child,White,Female,4,0,34,Outlying-US(Guam-USVI-etc),<=50K
30,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,2,0,56,United-States,<=50K
46,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,54,United-States,>50K
50,Private,Some-college,Widowed,Sales,Unmarried,White,Female,1,0,40,United-States,<=50K
30,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,3,0,45,United-States,<=50K
20,Private,11th,Never-married,Exec-managerial,Own-child,White,Male,1,0,14,United-States,<=50K
50,State-gov,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,59,United-States,>50K
52,Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,2,0,40,United-States,<=50K
40,Private,Some-college,Divorced,Tech-support,Unmarried,White,Female,2,0,40,United-States,<=50K
30,Private,HS-grad,Divorced,Tech-support,Other-relative,White,Female,2,0,40,United-States,<=50K
66,State-gov,Assoc-acdm,Divorced,Prof-specialty,Unmarried,White,Male,6,0,40,United-States,<=50K
53,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,5,0,59,United-States,<=50K
25,Private,1st-4th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1,0,40,France,<=50K
26,Private,7th-8th,Married-civ-spouse,Adm-clerical,Wife,White,Female,2,0,50,United-States,>50K
48,Local-gov,HS-grad,Married-AF-spouse,Adm-clerical,Not-in-family,White,Female,4,0,40,United-States,<=50K
31,Private,7th-8th,Never-married,Handlers-cleaners,Not-in-family,White,Male,4,0,59,United-States,<=50K
30,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,4,0,26,United-States,<=50K
38,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,4028,0,40,United-States,<=50K
19,Private,1st-4th,Divorced,Craft-repair,Unmarried,White,Male,2,0,40,Mexico,<=50K
56,Private,HS-grad,Divorced,Sales,Not-in-family,White,Male,1,0,62,United-States,>50K
54,Self-emp-not-inc,Assoc-voc,Never-married,Protective-serv,Husband,White,Male,2,0,70,United-States,<=50K
