age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
45,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,1,0,59,United-States,>50K
54,Private,7th-8th,Never-married,Handlers-cleaners,Not-in-family,White,Male,2,0,40,United-States,>50K
39,Private,Some-college,Separated,Craft-repair,Unmarried,Black,Male,5,0,40,United-States,<=50K
33,Private,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,>50K
66,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,70,United-States,>50K
45,Private,Some-college,Divorced,Exec-managerial,Other-relative,White,Male,1,0,41,United-States,>50K
18,Private,12th,Married-civ-spouse,Exec-managerial,Husband,Black,Male,3,0,35,United-States,<=50K
38,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,3,0,47,United-States,>50K
24,Private,Assoc-voc,Never-married,Protective-serv,Other-relative,Black,Male,5,0,36,United-States,<=50K
39,Private,HS-grad,Never-married,Protective-serv,Own-child,White,Female,3,0,40,United-States,<=50K
46,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,100884,0,79,United-States,>50K
54,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,1,0,50,United-States,<=50K
25,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,Black,Male,2,0,40,Outlying-US(Guam-USVI-etc),<=50K
49,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,40,United-States,>50K
32,Private,HS-grad,Separated,Protective-serv,Unmarried,White,Female,1,0,53,Germany,<=50K
37,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,6,0,40,Philippines,<=50K
26,Private,Assoc-voc,Never-married,Protective-serv,Own-child,Black,Male,3,0,40,United-States,<=50K
20,Private,10th,Married-civ-spouse,Handlers-cleaners,Other-relative,Black,Male,3,0,40,United-States,<=50K
33,Private,Doctorate,Never-married,Prof-specialty,Unmarried,White,Female,5,0,35,United-States,<=50K
54,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,14861,0,70,United-States,>50K
52,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,15055,0,50,United-States,>50K
34,Private,12th,Married-civ-spouse,Other-service,Own-child,White,Male,1,0,52,United-States,>50K
44,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,50,United-States,>50K
39,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,1,0,26,United-States,<=50K
